time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,x_center_retrieved,y_center_retrieved
1577964834.577074,psf_trial6_00006720.fits,-1.118516,-6.049206,-1.184208,53.000000,46.000000
1577964835.420839,psf_trial6_00006726.fits,-1.363523,-8.096397,3.929985,53.000000,46.000000
1577964836.231665,psf_trial6_00006731.fits,-1.460636,-4.974596,6.516871,53.000000,46.000000
1577964837.056836,psf_trial6_00006737.fits,-1.464475,-8.796754,6.500558,53.000000,46.000000
1577964837.877863,psf_trial6_00006743.fits,-1.464475,-8.796754,6.500558,53.000000,46.000000
1577964838.681615,psf_trial6_00006748.fits,-1.463701,-8.803532,7.582377,53.000000,46.000000
1577964839.487185,psf_trial6_00006754.fits,-0.719302,-9.589416,6.069298,53.000000,46.000000
1577964840.443445,psf_trial6_00006760.fits,-0.721166,-11.341830,5.041089,53.000000,46.000000
1577964841.261558,psf_trial6_00006766.fits,-0.802515,8.018017,3.608144,52.000000,46.000000
1577964842.083283,psf_trial6_00006771.fits,-0.803007,5.720061,3.476297,52.000000,46.000000
1577964842.893915,psf_trial6_00006777.fits,-0.545281,1.782802,10.715902,52.000000,46.000000
1577964843.709813,psf_trial6_00006783.fits,-0.306440,1.377219,1.672834,52.000000,46.000000
1577964844.534326,psf_trial6_00006788.fits,-0.306440,1.377219,1.672834,52.000000,46.000000
1577964845.349144,psf_trial6_00006794.fits,0.031211,3.754570,4.121692,52.000000,46.000000
1577964846.192754,psf_trial6_00006800.fits,0.031211,3.754570,4.121692,52.000000,46.000000
1577964847.010382,psf_trial6_00006806.fits,0.030670,2.727501,5.148343,52.000000,46.000000
1577964847.842147,psf_trial6_00006811.fits,0.029031,-0.904901,5.133617,52.000000,46.000000
1577964848.676992,psf_trial6_00006817.fits,0.028222,-2.808925,5.109247,52.000000,46.000000
1577964849.481345,psf_trial6_00006823.fits,0.028522,-4.942152,5.203254,52.000000,46.000000
1577964850.302519,psf_trial6_00006829.fits,0.029095,-3.906214,5.186607,52.000000,46.000000
1577964851.120198,psf_trial6_00006834.fits,0.288988,-0.443389,7.854664,52.000000,46.000000
1577964851.938714,psf_trial6_00006840.fits,0.372943,1.929709,1.153761,52.000000,46.000000
1577964852.749629,psf_trial6_00006846.fits,0.881726,0.076082,3.569163,52.000000,46.000000
1577964853.559613,psf_trial6_00006851.fits,0.881844,0.127190,4.627774,52.000000,46.000000
1577964854.394501,psf_trial6_00006857.fits,0.620053,0.126664,-3.386773,52.000000,46.000000
1577964855.205350,psf_trial6_00006863.fits,0.199381,-0.090124,9.873513,52.000000,46.000000
1577964856.029188,psf_trial6_00006868.fits,0.199381,-0.090124,9.873513,52.000000,46.000000
1577964856.843711,psf_trial6_00006874.fits,0.288450,-1.068145,8.701312,52.000000,46.000000
1577964857.676046,psf_trial6_00006880.fits,0.532538,-3.972450,0.162453,52.000000,46.000000
1577964858.484232,psf_trial6_00006886.fits,0.977692,-3.741257,3.206628,52.000000,46.000000
1577964859.306489,psf_trial6_00006891.fits,0.720136,-5.495893,-3.963404,52.000000,46.000000
1577964860.125731,psf_trial6_00006897.fits,0.722511,-2.887016,-3.933916,52.000000,46.000000
1577964861.088021,psf_trial6_00006903.fits,0.535488,-0.619494,-2.174435,52.000000,46.000000
1577964862.037523,psf_trial6_00006909.fits,0.442321,-1.767936,5.004585,52.000000,46.000000
1577964862.847220,psf_trial6_00006915.fits,0.773598,-6.178768,1.979951,52.000000,46.000000
1577964863.667762,psf_trial6_00006921.fits,0.615974,-4.916134,-5.461712,52.000000,46.000000
1577964864.490295,psf_trial6_00006927.fits,0.776491,-8.628404,2.587427,52.000000,46.000000
1577964865.304627,psf_trial6_00006932.fits,1.035376,-8.553929,4.001771,52.000000,46.000000
1577964866.122825,psf_trial6_00006938.fits,1.035376,-8.553929,4.001771,52.000000,46.000000
1577964866.960552,psf_trial6_00006944.fits,1.042068,-5.902838,4.680605,52.000000,46.000000
1577964867.792998,psf_trial6_00006950.fits,0.774201,-4.160824,0.965293,52.000000,46.000000
1577964868.603717,psf_trial6_00006955.fits,0.774914,-1.546291,1.070260,52.000000,46.000000
1577964869.417968,psf_trial6_00006961.fits,0.773486,-4.326879,0.168452,52.000000,46.000000
1577964870.230088,psf_trial6_00006967.fits,0.282856,-5.291367,4.161058,52.000000,46.000000
1577964871.061247,psf_trial6_00006972.fits,0.280919,-5.283743,3.113356,52.000000,46.000000
1577964871.865946,psf_trial6_00006978.fits,0.280919,-5.283743,3.113356,52.000000,46.000000
1577964872.684238,psf_trial6_00006984.fits,0.276108,-6.973149,2.871622,52.000000,46.000000
1577964873.514171,psf_trial6_00006989.fits,0.528000,-7.347868,-7.402609,52.000000,46.000000
1577964874.320254,psf_trial6_00006995.fits,0.612184,-7.784702,-9.052059,52.000000,46.000000
1577964875.136296,psf_trial6_00007001.fits,0.374332,8.342110,-4.290071,51.000000,46.000000
1577964875.951225,psf_trial6_00007006.fits,0.278669,8.585642,1.941041,51.000000,46.000000
1577964876.768262,psf_trial6_00007012.fits,-0.054433,8.456293,-2.111223,51.000000,46.000000
1577964877.582917,psf_trial6_00007018.fits,-0.307749,8.559967,-2.236611,51.000000,46.000000
1577964878.389427,psf_trial6_00007023.fits,-0.219236,9.170410,-5.632580,51.000000,46.000000
1577964879.214672,psf_trial6_00007029.fits,-0.219236,9.170410,-5.632580,51.000000,46.000000
1577964880.062559,psf_trial6_00007035.fits,-0.472046,-9.698848,1.202536,52.000000,46.000000
1577964880.880726,psf_trial6_00007041.fits,-0.473009,-2.810152,1.249210,52.000000,46.000000
1577964881.719884,psf_trial6_00007046.fits,-0.224153,-2.875739,-5.188365,52.000000,46.000000
1577964882.739914,psf_trial6_00007052.fits,-0.225350,-4.185053,-5.160617,52.000000,46.000000
1577964883.558334,psf_trial6_00007058.fits,-0.316277,-0.946365,-2.225957,52.000000,46.000000
1577964884.396493,psf_trial6_00007064.fits,-0.316226,-1.937325,-2.233478,52.000000,46.000000
1577964885.214100,psf_trial6_00007070.fits,-0.223907,1.078435,-6.070503,52.000000,46.000000
1577964886.041002,psf_trial6_00007075.fits,-0.131027,-0.738925,-9.149550,52.000000,46.000000
1577964886.864443,psf_trial6_00007081.fits,0.127645,-1.929756,-1.815004,52.000000,46.000000
1577964887.698581,psf_trial6_00007087.fits,0.125397,-4.045282,-2.219647,52.000000,46.000000
1577964888.519550,psf_trial6_00007093.fits,0.283869,0.042019,0.698540,52.000000,46.000000
1577964889.329117,psf_trial6_00007098.fits,0.284804,0.051895,1.751583,52.000000,46.000000
1577964890.140281,psf_trial6_00007104.fits,0.284328,-3.117993,3.046523,52.000000,46.000000
1577964890.963257,psf_trial6_00007110.fits,0.285894,-2.981729,3.839029,52.000000,46.000000
1577964891.786801,psf_trial6_00007115.fits,0.720540,-6.196145,-9.836432,52.000000,46.000000
1577964892.623095,psf_trial6_00007121.fits,0.464179,-6.064821,-12.025108,52.000000,46.000000
1577964893.450489,psf_trial6_00007127.fits,0.464179,-6.064821,-12.025108,52.000000,46.000000
1577964894.278149,psf_trial6_00007133.fits,0.205373,-7.272423,-5.284214,52.000000,46.000000
1577964895.102537,psf_trial6_00007138.fits,0.210025,8.290807,-4.993472,51.000000,46.000000
1577964895.920207,psf_trial6_00007144.fits,0.213891,5.844583,-4.854570,51.000000,46.000000
1577964896.742049,psf_trial6_00007150.fits,0.126919,-0.483420,-4.046509,51.000000,46.000000
1577964897.554639,psf_trial6_00007155.fits,0.375375,2.402151,-7.757303,51.000000,46.000000
