time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,y_center_retrieved,x_center_retrieved
1577954528.856622,psf_trial2_00004363.fits,0.764354,0.005714,0.877106,50.000000,50.000000
1577954529.617810,psf_trial2_00004368.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954530.377338,psf_trial2_00004374.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954531.163210,psf_trial2_00004379.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954531.928911,psf_trial2_00004384.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954532.689420,psf_trial2_00004390.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954533.459137,psf_trial2_00004395.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954534.216972,psf_trial2_00004400.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954534.985568,psf_trial2_00004406.fits,1.274028,-0.038176,-2.649446,50.000000,50.000000
1577954535.751283,psf_trial2_00004411.fits,1.512085,-0.042892,-1.742678,50.000000,50.000000
1577954536.517560,psf_trial2_00004416.fits,1.512085,-0.042892,-1.742678,50.000000,50.000000
1577954537.292697,psf_trial2_00004421.fits,1.512085,-0.042892,-1.742678,50.000000,50.000000
1577954538.062720,psf_trial2_00004427.fits,1.274028,-0.038176,-2.649446,50.000000,50.000000
1577954538.833361,psf_trial2_00004432.fits,1.778520,0.063427,3.648166,50.000000,50.000000
1577954539.596807,psf_trial2_00004437.fits,1.778520,0.063427,3.648166,50.000000,50.000000
1577954540.364383,psf_trial2_00004443.fits,-1.859109,1.688587,6.665559,50.000000,50.000000
1577954541.123774,psf_trial2_00004448.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954541.912968,psf_trial2_00004453.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954542.672674,psf_trial2_00004459.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954543.427200,psf_trial2_00004464.fits,-1.104017,-0.025503,-2.735468,50.000000,50.000000
1577954544.190251,psf_trial2_00004469.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954544.948523,psf_trial2_00004475.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
